bug_id,affected_versions
HIVE-28516,[]
HIVE-28515,"['4.1.0', '4.0.1']"
HIVE-28513,[]
HIVE-28509,[]
HIVE-28487,"['4.1.0', '4.0.1']"
HIVE-28473,[]
HIVE-28455,[]
HIVE-28451,"['4.1.0', '4.0.1']"
HIVE-28441,[]
HIVE-28439,"['4.1.0', '4.0.1']"
HIVE-28426,['Not Applicable']
HIVE-28366,['4.1.0']
HIVE-28362,[]
HIVE-28360,"['4.1.0', '4.0.1']"
HIVE-28353,"['4.1.0', '4.0.1']"
HIVE-28347,"['4.1.0', '4.0.1']"
HIVE-28332,[]
HIVE-28331,[]
HIVE-28330,['4.1.0']
HIVE-28328,[]
HIVE-28301,[]
HIVE-28285,"['4.1.0', '4.0.1']"
HIVE-28280,[]
HIVE-28278,"['4.1.0', '4.0.1']"
HIVE-28277,['4.0.0']
HIVE-28266,"['4.1.0', '4.0.1']"
HIVE-28265,[]
HIVE-28264,"['4.1.0', '4.0.1']"
HIVE-28262,"['4.1.0', '4.0.1']"
HIVE-28241,[]
HIVE-28239,"['4.1.0', '4.0.1']"
HIVE-28229,[]
HIVE-28223,[]
HIVE-28222,[]
HIVE-28221,[]
HIVE-28220,[]
HIVE-28218,[]
HIVE-28217,"['4.1.0', '4.0.1']"
HIVE-28208,[]
HIVE-28207,"['4.1.0', '4.0.1']"
HIVE-28202,"['4.1.0', '4.0.1']"
HIVE-28198,[]
HIVE-28190,"['4.1.0', '4.0.1']"
HIVE-28189,[]
HIVE-28186,[]
HIVE-28179,['4.1.0']
HIVE-28173,"['4.1.0', '4.0.1']"
HIVE-28166,"['4.1.0', '4.0.1']"
HIVE-28161,"['4.1.0', '4.0.1']"
HIVE-28143,"['4.1.0', '4.0.1']"
HIVE-28141,[]
HIVE-28124,[]
HIVE-28123,['4.0.0']
HIVE-28121,"['2.3.10', '4.1.0', '4.0.1']"
HIVE-28120,['Not Applicable']
HIVE-28117,[]
HIVE-28108,['4.1.0']
HIVE-28103,[]
HIVE-28096,[]
HIVE-28088,[]
HIVE-28085,[]
HIVE-28082,"['4.1.0', '4.0.1']"
HIVE-28079,[]
HIVE-28075,[]
HIVE-28061,[]
HIVE-28054,['4.0.0']
HIVE-28053,['4.0.0']
HIVE-28026,['Not Applicable']
HIVE-28021,['4.0.0']
HIVE-28014,[]
HIVE-28009,['4.0.0']
HIVE-28006,"['4.1.0', '4.0.1']"
HIVE-28004,['4.0.0']
HIVE-28002,['4.0.0-beta-1']
HIVE-27997,[]
HIVE-27996,[]
HIVE-27988,['4.0.0']
HIVE-27985,[]
HIVE-27981,[]
HIVE-27967,['4.0.0']
HIVE-27962,['4.0.0']
HIVE-27960,['4.0.0']
HIVE-27952,['4.0.0']
HIVE-27951,['4.0.0']
HIVE-27950,['4.0.0']
HIVE-27948,['4.0.0']
HIVE-27944,[]
HIVE-27943,['4.0.0']
HIVE-27942,['4.0.0']
HIVE-27941,[]
HIVE-27939,[]
HIVE-27930,['4.0.0']
HIVE-27924,['4.0.0']
HIVE-27916,['4.0.0']
HIVE-27900,['Not Applicable']
HIVE-27866,['4.0.0']
HIVE-27858,['Not Applicable']
HIVE-27854,[]
HIVE-27847,"['4.1.0', '4.0.1']"
HIVE-27805,[]
HIVE-27801,['4.0.0']
HIVE-27797,['4.0.0']
HIVE-27792,[]
HIVE-27788,[]
HIVE-27775,['4.0.0']
HIVE-27749,['4.0.0']
HIVE-27748,[]
HIVE-27739,[]
HIVE-27733,['4.0.0']
HIVE-27713,['4.0.0']
HIVE-27695,['4.0.0']
HIVE-27675,['4.0.0']
HIVE-27667,['4.0.0']
HIVE-27658,['4.0.0']
HIVE-27655,[]
HIVE-27649,['4.0.0']
HIVE-27647,[]
HIVE-27642,['4.0.0']
HIVE-27631,['4.0.0']
HIVE-27594,[]
HIVE-27555,['4.0.0']
HIVE-27553,[]
HIVE-27502,['4.0.0-beta-1']
HIVE-27484,[]
HIVE-27480,[]
HIVE-27449,['4.0.0-beta-1']
HIVE-27439,['4.0.0-beta-1']
HIVE-27420,['Not Applicable']
HIVE-27414,[]
HIVE-27374,['4.0.0-beta-1']
HIVE-27357,"['4.1.0', '4.0.1']"
HIVE-27350,[]
HIVE-27344,['4.0.0-beta-1']
HIVE-27342,[]
HIVE-27338,['4.0.0-beta-1']
HIVE-27337,['4.0.0-alpha-1']
HIVE-27326,[]
HIVE-27324,['4.0.0']
HIVE-27318,['3.1.4']
HIVE-27315,[]
HIVE-27293,[]
HIVE-27289,['4.0.0-beta-1']
HIVE-27274,[]
HIVE-27268,['4.0.0-beta-1']
HIVE-27240,['4.0.0']
HIVE-27226,[]
HIVE-27193,[]
HIVE-27170,[]
HIVE-27161,['4.0.0']
HIVE-27157,['4.0.0-beta-1']
HIVE-27156,[]
HIVE-27149,[]
HIVE-27140,['4.0.0-beta-1']
HIVE-27115,[]
HIVE-27098,[]
HIVE-27093,['4.0.0']
HIVE-27076,[]
HIVE-27071,['4.0.0-beta-1']
HIVE-27068,['3.1.4']
HIVE-27065,['4.0.0-beta-1']
HIVE-27063,['4.0.0-beta-1']
HIVE-27059,[]
HIVE-27053,[]
HIVE-27042,[]
HIVE-27041,[]
HIVE-27038,[]
HIVE-27037,[]
HIVE-26987,[]
HIVE-26959,[]
HIVE-26946,[]
HIVE-26911,['4.0.0-beta-1']
HIVE-26902,[]
HIVE-26900,[]
HIVE-26891,['Not Applicable']
HIVE-26881,[]
HIVE-26877,[]
HIVE-26872,[]
HIVE-26863,['Not Applicable']
HIVE-26835,[]
HIVE-26831,[]
HIVE-26828,['4.0.0']
HIVE-26819,['3.2.0']
HIVE-26812,['4.0.0-beta-1']
HIVE-26783,[]
HIVE-26782,[]
HIVE-26781,[]
HIVE-26780,[]
HIVE-26779,[]
HIVE-26778,[]
HIVE-26777,[]
HIVE-26776,[]
HIVE-26775,['Not Applicable']
HIVE-26767,['4.0.0-beta-1']
HIVE-26764,[]
HIVE-26759,['4.0.0-beta-1']
HIVE-26755,[]
HIVE-26739,[]
HIVE-26733,[]
HIVE-26722,[]
HIVE-26721,[]
HIVE-26720,[]
HIVE-26715,[]
HIVE-26689,[]
HIVE-26687,[]
HIVE-26678,[]
HIVE-26673,['Not Applicable']
HIVE-26669,[]
HIVE-26667,[]
HIVE-26664,[]
HIVE-26663,[]
HIVE-26658,['4.0.0-beta-1']
HIVE-26654,[]
HIVE-26652,['4.0.0-alpha-2']
HIVE-26643,['4.0.0-alpha-2']
HIVE-26637,[]
HIVE-26633,['4.0.0-alpha-2']
HIVE-26616,[]
HIVE-26591,[]
HIVE-26584,['4.0.0-alpha-2']
HIVE-26577,[]
HIVE-26570,[]
HIVE-26568,['4.0.0-alpha-2']
HIVE-26560,[]
HIVE-26545,[]
HIVE-26544,[]
HIVE-26533,[]
HIVE-26531,[]
HIVE-26530,['3.2.0']
HIVE-26528,[]
HIVE-26523,[]
HIVE-26522,"['2.3.10', '4.0.0-beta-1']"
HIVE-26515,[]
HIVE-26508,[]
HIVE-26505,[]
HIVE-26503,[]
HIVE-26499,[]
HIVE-26492,[]
HIVE-26472,[]
HIVE-26466,['4.0.0-alpha-2']
HIVE-26465,[]
HIVE-26449,[]
HIVE-26447,['4.0.0-alpha-2']
HIVE-26436,[]
HIVE-26434,['2.3.10']
HIVE-26422,[]
HIVE-26415,[]
HIVE-26406,[]
HIVE-26404,['4.0.0-alpha-2']
HIVE-26398,[]
HIVE-26396,"['3.2.0', '4.0.0-alpha-2']"
HIVE-26382,[]
HIVE-26376,[]
HIVE-26374,['4.0.0-alpha-2']
HIVE-26355,['4.0.0-alpha-2']
HIVE-26347,[]
HIVE-26339,"['4.1.0', '4.0.1']"
HIVE-26337,[]
HIVE-26335,[]
HIVE-26333,[]
HIVE-26327,[]
HIVE-26320,['4.0.0-alpha-2']
HIVE-26303,[]
HIVE-26302,[]
HIVE-26295,[]
HIVE-26292,[]
HIVE-26287,[]
